"ID","Created Date","Updated Date","Owner","Song Title","Performer","Runtime","Location","Snippet(s) of relevant lyrics","Songwriter ","date written","genre","Keywords (type of worker, labor issues, etc)","Submitter Name","Submitter Email"
"07f0d361-2ea8-493c-8350-b16a5ce9ae71",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Maggie's Farm","Bob Dylan",,"https://www.youtube.com/watch?v=G8yU8wk67gY","I ain't gonna work on Maggie's farm no more
No, I ain't gonna work on Maggie's farm no more
Well, I wake up in the morning
Fold my hands and pray for rain
I got a head full of ideas
That are drivin' me insane
It's a shame the way she makes me scrub the floor
I ain't gonna work on Maggie's farm no more.                             I ain't gonna work on Maggie's farm no more
I ain't gonna work on Maggie's farm no more
Well, I try my best
To be just like I am
But everybody wants you
To be just like them
They say, Sing while you slave, and I just get bored
Ah, I ain't gonna work on Maggie's farm no more","Bob Dylan","January 15, 1965","Blues/Folk Rock",,,
"08860841-438e-4739-b653-ee63744ed9ae",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Who's Gonna Build Your Wall","Tom Russell",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"08b0291c-0229-4966-bc10-ec155daa12d3",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Which Side Are You On","George Mann"," ","Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"09362d82-8aaf-47ce-9704-d858b3340d46",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Talking Union","Pete Seeger & The Almanac Singers",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"095b36b6-16b7-48b1-a91c-daeea4517b69",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Which Side Are You On","Ani DiFranco",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0980cf49-5fe0-43f7-8230-09f01b87c93d",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","All You Fascists Bound To Lose","Woody Guthrie",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0a8078c2-cfdb-4889-902e-9db1454f3635",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Hey Julie","Fountains of Wayne",,"https://www.youtube.com/watch?v=p1A1cmIlsyk
","“Working all day for a mean little man, With a clip-on tie and a rub-on tan, He's got me runnin around the office, Like a dog around a track, But when I get back home you're always there to rub my back
Hey Julie look what they're doing to me, Tryin to trip me up, Tryin to wear me down, Julie I swear it's so hard to bear it, And I'd never make it through without you around, No I'd never make it through without you around
Hours on the phone making pointless calls, I got a desk full of paper that means nothing at all, Sometimes I catch myself staring into space, Countin' down the hours til I get to see your face
...Why must I spend my time, Fillin' up my mind, With facts and figures that never add up anyway, They never add up anyway
Workin all day for a mean little guy, With a bad toupee and a soup-stain tie, He's got me runnin around the office, Like a gerbil on a wheel, He can tell me what to do, But he can't tell me what to feel”","Chris Collingwood, Adam Schlesinger","2003","Pop",,,
"0ae322c4-b71c-473c-8626-aa253039fa69",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Fire in the hole","Hazel Dickens",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0ae52005-59c5-4473-9a0e-9f02e90f500e",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","This Land Is Your Land","Baby Jay",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0b6a29bf-ba51-4070-acd6-5e0268175923",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Working Girl","Cher",,"https://www.youtube.com/watch?v=opMdd5W-rhw","Come Monday morning
You see her waitin' on the street for her ride
In an hour she'll be working
In a tower made of steel in the sky
She's just a pawn in the struggle
In a never-ending fight to survive
Mama had to play someone else's game
You learn to keep it inside

Working girl, livin' in a man's world
Working girl, you gotta take a stand, girl","Michael Bolton, Desmond Child","1987","Pop Rock",,,
"0c04535d-379d-4aa5-8740-54c2e96e46bb",2022-12-05T21:56:52Z,2022-12-05T21:56:52Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Working-Class Hero (clean)","John Lennon","3:36:00","https://youtu.be/ Y9PP2ChXe8",,,,,,,
"0c07f020-aef8-48b8-ac7f-fa2dcb5c07b0",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Come On Union","Larry Pen",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0c08a682-dc2d-4cb2-9111-45625ea4d7e2",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Dancing With Myself","Billy Idol",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0c1a478f-c0b7-43c7-8f50-493980471880",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","(Sittin' On) The Dock Of The Bay","Otis Redding",,"https://www.youtube.com/watch?v=rTVjnBo96Ug","I'm sittin' on the dock of the bay Watchin' the tide, roll away I'm sittin' on the dock of the bay Wastin' time I left my home in Georgia And I headed for the Frisco Bay 'Cause I've got nothin' to live for Looks like nothin's gonna come my way, so I'm just come sittin' on the dock of the bay","Otis Redding","1967","Blues",,,
"0cec099a-38bc-4334-90b4-bc9b03ca54d3",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","The Death of Mother Jones","Bobbie McGee",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0e5d3dd6-917e-46dc-a9fb-1344ab5937c7",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Plenty Tough And Union Made",,,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0ecdafc4-9fb4-449b-9363-966ef612c8d3",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","I Can't Survive","Lynn Marie Smith",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"0f3f3a2d-fa72-45eb-afcb-b3c27f0f0b04",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Joe Hill","Paul Robeson",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"119bd158-695f-408e-8412-f104e8d0b7c5",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Think ","Aretha Franklin (The Blues Brothers Version)",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"12441f56-51ca-451b-9702-9641f6817950",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Talking Tenant Blues",,,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"12d0a699-e9b1-4573-bd68-2c2127d692c9",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","This Land Is Your Land","Bruce Springsteen",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"12fe573c-ddcb-476f-8d63-893b11fb3595",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Socialism Train","The Ethiopians",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1398c7f7-20c6-47e4-9b6c-1263aecc6f0b",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Take a Stand","Kids United Nouvelle Génération Clip Officiel",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"13b939c2-6f27-4510-8aff-7b7db157e935",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","We Have Fed You All For A Thousand Years","Twin Cities Labor Chorus"," ","Labor History Today collection (MP3); cgarlock@gmail.com"," ",,,,,,
"143dcde9-87b6-4547-8a51-673299e129e5",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","A Railroad Life For Me","Larry Pen",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"14e09de3-1217-403c-9e78-a8af24a04c7b",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Work Song","Hozier",,"https://www.youtube.com/watch?v=nH7bjV0Q 44","Boys workin' on empty
Is that the kind'a way to face the burning heat?
I just think about my baby
I'm so full of love I could barely eat
There's nothing sweeter than my baby
I'd never want once from the cherry tree
'Cause my baby's sweet as can be
She give me toothaches just from kissin' me

When my time comes around
Lay me gently in the cold dark earth
No grave can hold my body down
I'll crawl home to her","Andrew Hozier-Byrne","March 2015","Folk",,,
"15125f06-496e-4855-9b4f-76ebc0f1d5d8",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Which Side Are You On gender neutral","Joe Uehlein acoustic Updated",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"15137cae-d905-405c-ac93-41f340ac630e",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Have You Been to Jail for Justice","Anne Feeney",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"158e6e0a-a741-4879-b6cd-954213361d45",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Respect","Aretha Franklin",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"161dc2fc-646b-483c-9fec-2ef1ab16ed63",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Eviction Blues",,,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1630ea7b-76e3-4900-a61d-e4bf53f8aaef",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Workers of the World Unite!"," ",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1650ef20-42e8-4e3a-a3e9-bd4d2d6bf761",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","We Just  Come to Work Here (Healthcare workers facing Covid)","Ben Grosscup",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"17319428-f393-49f3-b3c1-2c5f1367d794",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Sprinkle Coal Dust On My Grave","Orville J Jenks (UMWA)",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"177902d7-9ae9-48ac-b982-d9aaa1930bb8",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Lagrimas del Corazon ( Teardrops of the Heart)","Grupo Montez de Durango",,"https://www.youtube.com/watch?v=IUX7EabkdQ0","Bueno!?
Hola Mijo!
Papito! Cuando vas a venir?
Hola mi niño que tal, yo sigo aca
Con ganas de verlos
No los dejo de extrañar
Y cada vez mas, los echo de menos
Dime como esta mama
Dile por favor que están en mi mente
Que eh venido a triunfar
No hay mas que aguantar, debemos ser fuertes
Cuando es que vas a volver
Te oigo preguntar y me tiemblan los labios
Si yo pudiera volar, poder tener alas y estar a tu lado
Cuando es que vas a volver
Y yo sin pensar te digo que pronto
Lagrimas del corazon
Hijo de mi alma estoy derramando
Que triste es estar lejos de sus queridos
Y todo por salir adelante
Dime como esta el bebe
Ese pequeñin que tanto yo sueno
Si lo pudiera tener, mirarlo crecer
Es lo que deseo
Dile a tu hermana mayor
Que si quiere dios, voy para sus quince
Para bailar ese valz que le prometí
Antes de Venirme
Translation
Hello!?
Hello my son!
Daddy! When are you coming?1
 
Hello my boy, how are you?, I'm still here
I really want to see you both2
I can't stop missing you all,
And each time more than the last,
Tell me, how's your mother doing?
Please tell her you're both in my thoughts,
That I've come to be successful,
There's nothing more to do than to hold on, we must be strong
]
When are you coming back?,
I hear you ask and my lips tremble,
If only I could fly, and have wings to be by your side
When are you coming back?,
And without thinking I tell you: Soon
Tears from the heart,
My dearest son, I'm falling apart
 
It's sad to be so far from your loved ones,
And all because one must succeed.
 
Tell me how the baby's doing,
That little one that I dream of so much,
If I could hold him, watch him grown up
It's what I want most,
Tell your older sister,
If God is willing, I'll be there for her quinceañera
To dance that waltz I promised her,
Before I left and came here.","Grupo Montez de Durango","2007","Regional Mexican- Durangense Music",,,
"184416d0-f19f-4d4f-8415-4450cc49ecc9",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","More Than a Paycheck ","Sweet Honey in the Rock",,"https://www.youtube.com/watch?v=AOtXz6p4xeA","We bring more than a paycheck to our loved ones and families, I wanted more than a pay but what I got here today is more than I bargained for when I walked through that door. I bring home mass-patostis, and ciliosis, black lung disease. And radiation hits the children ","Ysaye Maria Barnwell","1988","Indie/A Capella",,,
"1857f9f3-70dc-466a-a346-0296427b9ae3",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Justice Train","Lynn Marie Smith",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1969fa91-1f20-49b1-a40a-60940027f09b",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Dump The Bosses Off Your Back","Anne Feeney",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"19c6ac68-cc00-4fe5-83b8-8da55e44bb3f",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Work Song","Nina Simone",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"19ec0f64-5ac1-4573-9b81-061e88491d42",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Sit Down Strike","Bill Collins/The Rabblerousers",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1a02861b-52d4-4615-a60b-008d14aa9e14",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","It's About Our Choice","Lynn Marie Smith","3:26:00","https://youtu.be/ZO32QkzrBkE",,,,,,,
"1a715705-0522-42ab-b83b-653df2a04def",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Street Fighting Man","The Rolling Stones",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1af8eb95-0d79-4f1a-92cb-9ed68023cf62",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Which Side Are You On","Robert Burdick",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1b06a380-be7c-464b-9955-c2fdb840d3a6",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","I Will Survive","Demi Lovato",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1b286325-6ae0-4ea5-b039-4afbb0d35e94",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Take This Job and Shove It","Dead Kennedys",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1ba4efa6-db30-459d-ad51-b08940cc890e",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Union Strike Folk Song ","Lisa Simpson",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1d374860-65e9-4463-94dd-b701c562bfcb",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","There is Power in a Union","Utah Phillips",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1db065a7-b8c1-4b09-a3b0-1f46bc87f67f",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Que corra el rio",,,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1e0851b2-e65f-4906-839d-bcd276580837",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","There is Power in a Union","Joe Glazer",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"1e470bf0-a98d-4678-8a8a-328a872027bf",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Unemployment Blues","The Esquires",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"200227df-3f2e-46b9-8dfe-f4d9fb5b7fe5",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Stayin' Alive","Bee Gees (1977)",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"20130db6-2968-4954-a411-0240e5c88a41",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","The Triangle Fire","John O'Connor",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"20a23783-72b0-4443-8f90-ecf640e53b38",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Now is the time to seize the day","orig broadway cast recording",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"21aeb5b1-8869-4400-a612-8b1e3a0308ce",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","A matter of time","Los Lobos","3:58:00","https://youtu.be/vdfuPQnQNm8",,,,,,,
"21d1de60-a609-4a72-b450-5d9c68ab8161",2022-12-05T21:56:48Z,2022-12-05T21:56:48Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","It's All Going to Pot","Willie Nelson & Merle Haggard"," ","Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"226c0e6d-c9ba-4cc5-9cce-344202fd9ab0",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","The Firebreak Line","Steve Earle",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"23394cb3-10c3-43a6-92af-f798414f7989",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Blue Collar Man (Long Nights)","Styx",,"https://www.youtube.com/watch?v=CDM6v1XhWEg","Give me a job, give me security
Give me a chance to survive
I'm just a poor soul in the unemployment line                        Make me an offer that I can't refuse
Make me respectable, man
This is my last time in the unemployment line
So like it or not, I'll take those","Tommy Shaw","1978","Progressive Rock/Hard Rock",,,
"234df279-0645-4096-b411-66ac3b797591",2022-12-05T21:56:51Z,2022-12-05T21:56:51Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Union Maid","Ariana",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"23548075-421d-4acb-9809-183da710d111",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Brother Can You Spare a Dime","Tom Waits",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"236e792c-8e16-4518-99ab-d5de68a48c89",2022-12-05T21:56:50Z,2022-12-05T21:56:50Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","The Mountain","Steve Earle and The Del McCoury Band",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"2383a3a6-e2b0-4e8f-8f2f-d9de268c950b",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","One Bourbon One Scotch One Beer","George Thorogood",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"23aef111-909b-4bce-a854-07b149231517",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Room For All","Si Kahn",,"Labor History Today collection (MP3); cgarlock@gmail.com",,,,,,,
"23c284f4-51fb-4146-904c-0e3029b9bd92",2022-12-05T21:56:47Z,2022-12-05T21:56:47Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Black, Brown, and White","Big Bill Broonzy",,"https://www.youtube.com/watch?v=k0c1c0ZsTLA","If you're black and gotta work for a living
This is what they will say to you...Me and a man was workin' side by side
This is what it meant
They was paying him a dollar an hour
And they was paying me fifty cent","Big Bill Broonzy","1938","Blues",,,
"23fa0682-03ea-492f-b351-7d1597ff9d1f",2022-12-05T21:56:49Z,2022-12-05T21:56:49Z,"6b0b63f6-190a-4ea9-9551-88ec1b06478a","Mr. Maker","The Kooks",,"https://www.youtube.com/watch?v=vNj--We ugU","Mr. Maker he's got it made
A beautiful wife and a baby on the way
And his bills are already paid
No need to skimp, no need to save
But all around him, the world grows hard
He thinks to himself, he must have played a lucky card
If he was alone he'd give it all away
To people and things, that he wanted to save","Luke Pritchard","2008","Alternative Rock",,,
